Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-09-09 00:00:00-04:00,39.032871391259775,39.49032578882203,38.88369966468336,39.25165557861328,37610200,0.0,0.0
2024-09-10 00:00:00-04:00,39.61960949876238,39.61960949876238,38.11796432773328,39.062705993652344,53983900,0.0,0.0
2024-09-11 00:00:00-04:00,38.77431296960612,38.81408881055764,37.79973089119616,38.78425598144531,41190000,0.0,0.0
2024-09-12 00:00:00-04:00,38.833978491019195,39.11243213826737,38.31685462452371,38.56547164916992,39948800,0.0,0.0
2024-09-13 00:00:00-04:00,38.664918754564425,38.873756134106756,38.22735038570102,38.43619155883789,31887300,0.0,0.0
2024-09-16 00:00:00-04:00,38.59530845761661,38.99309342280913,38.57541864031777,38.88370132446289,26336400,0.0,0.0
2024-09-17 00:00:00-04:00,39.06270425813902,39.579828105567074,38.99309179729242,39.33121109008789,27769400,0.0,0.0
2024-09-18 00:00:00-04:00,39.40082550048828,39.8980595560498,39.20193111954472,39.40082550048828,42527800,0.0,0.0
2024-09-19 00:00:00-04:00,39.818502918849084,40.82291401261623,39.78866629674088,40.6439094543457,57977800,0.0,0.0
2024-09-20 00:00:00-04:00,40.39529207506131,40.50468417009897,40.017396938597116,40.0472297668457,70725000,0.0,0.0
2024-09-23 00:00:00-04:00,39.98756005987307,40.216287260030356,39.530105659558494,39.64944076538086,31714800,0.0,0.0
2024-09-24 00:00:00-04:00,39.62955069513005,39.75883260520689,39.03287137624315,39.23176574707031,32534900,0.0,0.0
2024-09-25 00:00:00-04:00,39.03287124633789,39.19198598375115,38.72458478290206,39.03287124633789,28866000,0.0,0.0
2024-09-26 00:00:00-04:00,39.17209824098048,39.500274538164554,38.89364838416596,39.3013801574707,39601400,0.0,0.0
2024-09-27 00:00:00-04:00,39.430662009975336,39.679279037040516,39.132318542621306,39.182044982910156,27861100,0.0,0.0
2024-09-30 00:00:00-04:00,39.01298358591352,39.56988709443306,38.80414619281674,39.46049499511719,35055200,0.0,0.0
2024-10-01 00:00:00-04:00,39.29143318119892,39.341159621352354,38.72458666452155,39.0030403137207,26291200,0.0,0.0
2024-10-02 00:00:00-04:00,39.03287123116317,39.321267878110895,38.83397686107527,39.01298141479492,23302700,0.0,0.0
2024-10-03 00:00:00-04:00,38.76436441565403,39.05276106271387,38.51574740134614,39.03287124633789,26030200,0.0,0.0
2024-10-04 00:00:00-04:00,39.709110372956715,40.027339852144586,39.40082390529582,39.88811492919922,34209900,0.0,0.0
2024-10-07 00:00:00-04:00,39.987562036339405,40.216289247801996,39.49032797830903,39.73894500732422,27177500,0.0,0.0
2024-10-08 00:00:00-04:00,39.82844536596713,39.927894448927105,39.589775154052404,39.709110260009766,26023600,0.0,0.0
2024-10-09 00:00:00-04:00,39.64944096117962,40.16656481375637,39.50027302656369,39.96767044067383,27421000,0.0,0.0
2024-10-10 00:00:00-04:00,39.788665762715,39.90800466235675,39.549995550620736,39.7488899230957,26182300,0.0,0.0
2024-10-11 00:00:00-04:00,40.27595796867511,41.93671787139624,40.176512676313806,41.71793746948242,50660700,0.0,0.0
2024-10-14 00:00:00-04:00,41.72788045254289,41.94666464790077,41.48921023360224,41.678157806396484,28098900,0.0,0.0
2024-10-15 00:00:00-04:00,42.99085357167322,43.12013548105753,41.817380963033045,41.906883239746094,61490000,0.0,0.0
2024-10-16 00:00:00-04:00,41.9764961118006,42.86157208264622,41.916830455803115,42.563232421875,42437800,0.0,0.0
2024-10-17 00:00:00-04:00,42.59306891375168,42.76212666335582,42.23505980447868,42.36433792114258,31708600,0.0,0.0
2024-10-18 00:00:00-04:00,42.19528000228512,42.414064188984284,41.877050527228846,42.08588790893555,30593500,0.0,0.0
2024-10-21 00:00:00-04:00,42.01627508316561,42.17538981931074,41.509098047201306,41.52898406982422,26589500,0.0,0.0
2024-10-22 00:00:00-04:00,41.41959611611499,42.175390170702755,41.34003685058229,42.06599807739258,37104400,0.0,0.0
2024-10-23 00:00:00-04:00,41.96655281929061,42.23505965026496,41.78754826530772,42.105777740478516,28569400,0.0,0.0
2024-10-24 00:00:00-04:00,42.08589001820095,42.42400932659347,41.73782769791223,42.414066314697266,28392000,0.0,0.0
2024-10-25 00:00:00-04:00,42.68256890077629,42.74223835228824,41.55882268259499,41.658267974853516,27466900,0.0,0.0
2024-10-28 00:00:00-04:00,41.837271077143775,42.51350966299002,41.777601627712194,42.38422775268555,24527600,0.0,0.0
2024-10-29 00:00:00-04:00,42.35439677748116,42.57318097470602,42.2350616669925,42.29472732543945,22313500,0.0,0.0
2024-10-30 00:00:00-04:00,41.479263669844386,42.662683140434204,41.40965120611496,42.07594680786133,38100500,0.0,0.0
2024-10-31 00:00:00-04:00,42.05605476209377,42.314614786017486,41.56876374821368,41.588653564453125,28138200,0.0,0.0
2024-11-01 00:00:00-04:00,41.91682979567286,42.195279635528195,41.51904105851276,41.52898406982422,31220000,0.0,0.0
2024-11-04 00:00:00-05:00,41.37981780148465,41.78754956634141,40.88258375684983,41.10136795043945,31110100,0.0,0.0
2024-11-05 00:00:00-05:00,41.28036714863846,41.777601174389126,41.15108903333137,41.64832305908203,30851400,0.0,0.0
2024-11-06 00:00:00-05:00,44.55216828016974,45.298019324347564,43.75659459176565,45.15879440307617,110086700,0.0,0.0
2024-11-07 00:00:00-05:00,44.79084571891717,44.97979329890699,44.26377502762787,44.5223388671875,48339700,0.0,0.0
2024-11-08 00:00:00-05:00,44.890287402238975,45.24829650906606,44.7013398374556,44.88034439086914,38331800,0.0,0.0
2024-11-11 00:00:00-05:00,45.3477442846568,46.26265691824553,45.327858260826304,45.82509231567383,43293500,0.0,0.0
2024-11-12 00:00:00-05:00,45.884757839343415,46.1930443181359,45.586418166031685,45.60630798339844,38155900,0.0,0.0
2024-11-13 00:00:00-05:00,45.94442536688497,46.222875211166006,45.57647324500009,45.616249084472656,36903900,0.0,0.0
2024-11-14 00:00:00-05:00,45.695810293134755,45.9046476852232,45.47702609555937,45.646087646484375,35733100,0.0,0.0
2024-11-15 00:00:00-05:00,45.36763260968155,46.58088487754906,45.36763260968155,46.49138259887695,40488900,0.0,0.0
2024-11-18 00:00:00-05:00,46.49138449583617,46.7598913428082,46.2328244544528,46.461551666259766,32371800,0.0,0.0
2024-11-19 00:00:00-05:00,45.73558832252495,46.36210047679905,45.695808689163044,46.153263092041016,28534100,0.0,0.0
2024-11-20 00:00:00-05:00,46.31237955073732,46.381992014906935,45.66597376219685,45.80520248413086,28021000,0.0,0.0
2024-11-21 00:00:00-05:00,46.13337520639861,46.78972400996473,46.04387292438528,46.20298767089844,45336500,0.0,0.0
2024-11-22 00:00:00-05:00,46.11348570014463,46.9587858789972,46.02398341752718,46.7400016784668,37996200,0.0,0.0
2024-11-25 00:00:00-05:00,46.99856200333574,47.475910042562695,46.899116708093786,47.23723602294922,42718600,0.0,0.0
2024-11-26 00:00:00-05:00,47.24717727710867,47.57535356766738,46.94883760888829,47.4858512878418,30301500,0.0,0.0
2024-11-27 00:00:00-05:00,47.555463765170906,47.71457850784337,47.38640601077909,47.505741119384766,23278400,0.0,0.0
2024-11-29 00:00:00-05:00,47.53557377959308,47.81402742347863,47.237234112339344,47.24717712402344,23262000,0.0,0.0
2024-12-02 00:00:00-05:00,47.47590978525815,47.55546526230159,46.590829970584295,46.779781341552734,35891500,0.0,0.0
2024-12-03 00:00:00-05:00,47.10795371578736,47.21734581580832,46.39193925004117,46.560997009277344,38123800,0.0,0.0
2024-12-04 00:00:00-05:00,46.4317129084559,46.52121518666517,45.87481321612678,46.11348342895508,24941300,0.0,0.0
2024-12-05 00:00:00-05:00,46.30243707100082,46.97867569664494,46.24276761805758,46.7400016784668,31572100,0.0,0.0
2024-12-06 00:00:00-05:00,47.060001373291016,47.060001373291016,46.400001525878906,46.75,28931700,0.26,0.0
2024-12-09 00:00:00-05:00,46.560001373291016,46.75,45.900001525878906,45.90999984741211,34660900,0.0,0.0
2024-12-10 00:00:00-05:00,45.90999984741211,46.290000915527344,45.59000015258789,45.75,35665800,0.0,0.0
2024-12-11 00:00:00-05:00,46.0,46.15999984741211,45.470001220703125,46.08000183105469,36790500,0.0,0.0
2024-12-12 00:00:00-05:00,46.13999938964844,46.470001220703125,45.91999816894531,46.08000183105469,24017300,0.0,0.0
2024-12-13 00:00:00-05:00,46.09000015258789,46.099998474121094,45.380001068115234,45.66999816894531,32902300,0.0,0.0
2024-12-16 00:00:00-05:00,45.59000015258789,45.68000030517578,45.15999984741211,45.470001220703125,27330400,0.0,0.0
2024-12-17 00:00:00-05:00,45.189998626708984,45.189998626708984,44.619998931884766,45.04999923706055,33054600,0.0,0.0
2024-12-18 00:00:00-05:00,45.13999938964844,45.43000030517578,43.349998474121094,43.5,41771900,0.0,0.0
2024-12-19 00:00:00-05:00,43.970001220703125,44.47999954223633,43.310001373291016,43.380001068115234,38583600,0.0,0.0
2024-12-20 00:00:00-05:00,43.20000076293945,44.400001525878906,43.099998474121094,44.16999816894531,74222200,0.0,0.0
2024-12-23 00:00:00-05:00,43.900001525878906,44.11000061035156,42.779998779296875,43.88999938964844,35374800,0.0,0.0
2024-12-24 00:00:00-05:00,43.93000030517578,44.41999816894531,43.93000030517578,44.380001068115234,12054400,0.0,0.0
2024-12-26 00:00:00-05:00,44.209999084472656,44.58000183105469,44.11000061035156,44.54999923706055,16077400,0.0,0.0
2024-12-27 00:00:00-05:00,44.2400016784668,44.779998779296875,44.060001373291016,44.34000015258789,17972500,0.0,0.0
2024-12-30 00:00:00-05:00,43.88999938964844,44.13999938964844,43.54999923706055,43.90999984741211,16109800,0.0,0.0
2024-12-31 00:00:00-05:00,44.040000915527344,44.22999954223633,43.709999084472656,43.95000076293945,16110400,0.0,0.0
2025-01-02 00:00:00-05:00,44.13999938964844,44.59000015258789,43.79999923706055,44.290000915527344,25610600,0.0,0.0
2025-01-03 00:00:00-05:00,44.75,44.849998474121094,44.150001525878906,44.810001373291016,23455700,0.0,0.0
2025-01-06 00:00:00-05:00,45.15999984741211,46.150001525878906,45.099998474121094,45.400001525878906,30518500,0.0,0.0
2025-01-07 00:00:00-05:00,46.279998779296875,46.650001525878906,45.650001525878906,46.08000183105469,41111200,0.0,0.0
2025-01-08 00:00:00-05:00,45.900001525878906,46.2599983215332,45.689998626708984,46.209999084472656,40246000,0.0,0.0
2025-01-10 00:00:00-05:00,46.0,46.04999923706055,44.7400016784668,45.11000061035156,40741300,0.0,0.0
2025-01-13 00:00:00-05:00,45.099998474121094,45.34000015258789,44.689998626708984,45.060001373291016,34353600,0.0,0.0
2025-01-14 00:00:00-05:00,45.599998474121094,45.91999816894531,45.22999954223633,45.779998779296875,36379000,0.0,0.0
2025-01-15 00:00:00-05:00,47.119998931884766,47.459999084472656,46.84000015258789,47.099998474121094,57154800,0.0,0.0
2025-01-16 00:00:00-05:00,47.0,47.5099983215332,45.81999969482422,46.63999938964844,56339300,0.0,0.0
2025-01-17 00:00:00-05:00,46.61000061035156,46.880001068115234,46.08000183105469,46.529998779296875,44486100,0.0,0.0
2025-01-21 00:00:00-05:00,46.619998931884766,47.150001525878906,46.540000915527344,46.65999984741211,52089100,0.0,0.0
2025-01-22 00:00:00-05:00,46.599998474121094,46.72999954223633,45.7599983215332,45.790000915527344,40296200,0.0,0.0
2025-01-23 00:00:00-05:00,46.04999923706055,46.88999938964844,46.04999923706055,46.38999938964844,35324100,0.0,0.0
2025-01-24 00:00:00-05:00,46.22999954223633,46.86000061035156,46.150001525878906,46.52000045776367,24655100,0.0,0.0
2025-01-27 00:00:00-05:00,46.54999923706055,47.13999938964844,46.380001068115234,47.09000015258789,44260000,0.0,0.0
2025-01-28 00:00:00-05:00,47.08000183105469,47.439998626708984,46.709999084472656,46.84000015258789,27156600,0.0,0.0
2025-01-29 00:00:00-05:00,46.75,47.38999938964844,46.63999938964844,46.75,23681500,0.0,0.0
2025-01-30 00:00:00-05:00,47.11000061035156,47.16999816894531,46.400001525878906,46.720001220703125,31199900,0.0,0.0
2025-01-31 00:00:00-05:00,46.70000076293945,46.83000183105469,46.15999984741211,46.29999923706055,30392900,0.0,0.0
2025-02-03 00:00:00-05:00,45.41999816894531,46.47999954223633,45.11000061035156,46.209999084472656,36497700,0.0,0.0
2025-02-04 00:00:00-05:00,46.349998474121094,47.130001068115234,46.27000045776367,46.709999084472656,32894000,0.0,0.0
2025-02-05 00:00:00-05:00,46.97999954223633,47.130001068115234,46.63999938964844,47.11000061035156,27696600,0.0,0.0
2025-02-06 00:00:00-05:00,47.439998626708984,47.97999954223633,47.16999816894531,47.7400016784668,39793400,0.0,0.0
2025-02-07 00:00:00-05:00,47.84000015258789,47.970001220703125,47.380001068115234,47.400001525878906,26504700,0.0,0.0
2025-02-10 00:00:00-05:00,47.47999954223633,47.560001373291016,46.400001525878906,46.66999816894531,26725200,0.0,0.0
2025-02-11 00:00:00-05:00,46.54999923706055,46.93000030517578,46.279998779296875,46.790000915527344,20314900,0.0,0.0
2025-02-12 00:00:00-05:00,46.56999969482422,46.58000183105469,45.939998626708984,46.209999084472656,29777100,0.0,0.0
2025-02-13 00:00:00-05:00,46.52000045776367,46.56999969482422,45.970001220703125,46.33000183105469,26815400,0.0,0.0
2025-02-14 00:00:00-05:00,46.47999954223633,47.09000015258789,46.47999954223633,46.959999084472656,25960500,0.0,0.0
2025-02-18 00:00:00-05:00,46.560001373291016,46.650001525878906,46.15999984741211,46.529998779296875,37824100,0.0,0.0
2025-02-19 00:00:00-05:00,45.880001068115234,46.060001373291016,45.41999816894531,46.0099983215332,38960100,0.0,0.0
